protocol_id,protocol_family,duration_s,score,offscreen_gap_s,visible_runs,offscreen_runs,longest_offscreen_run_s,final_visible_steps,checkpoint_count,revisit_error,matrix_game3_csv,matrix_game3_prompt,shared_prompt,genie3_action_list
huaiqiu_mcts_01_multi_glance_yaw_right_return,multi_glance_yaw_right_return,72.0,253.5,58.0,4,3,20.0,4,21,0.0,matrix_game3_csv/huaiqiu_mcts_01_multi_glance_yaw_right_return.csv,shared_prompts/huaiqiu_mcts_01_multi_glance_yaw_right_return_shared_prompt.txt,shared_prompts/huaiqiu_mcts_01_multi_glance_yaw_right_return_shared_prompt.txt,genie3_protocols/huaiqiu_mcts_01_multi_glance_yaw_right_return_genie3_action_list.md
huaiqiu_mcts_02_multi_glance_yaw_left_return,multi_glance_yaw_left_return,72.0,253.5,58.0,4,3,20.0,4,21,0.0,matrix_game3_csv/huaiqiu_mcts_02_multi_glance_yaw_left_return.csv,shared_prompts/huaiqiu_mcts_02_multi_glance_yaw_left_return_shared_prompt.txt,shared_prompts/huaiqiu_mcts_02_multi_glance_yaw_left_return_shared_prompt.txt,genie3_protocols/huaiqiu_mcts_02_multi_glance_yaw_left_return_genie3_action_list.md
huaiqiu_mcts_03_retreat_multi_glance_right_return,retreat_multi_glance_right_return,72.0,225.64,52.0,3,2,22.0,4,20,0.42,matrix_game3_csv/huaiqiu_mcts_03_retreat_multi_glance_right_return.csv,shared_prompts/huaiqiu_mcts_03_retreat_multi_glance_right_return_shared_prompt.txt,shared_prompts/huaiqiu_mcts_03_retreat_multi_glance_right_return_shared_prompt.txt,genie3_protocols/huaiqiu_mcts_03_retreat_multi_glance_right_return_genie3_action_list.md
huaiqiu_mcts_04_retreat_multi_glance_left_return,retreat_multi_glance_left_return,72.0,225.64,52.0,3,2,22.0,4,20,0.42,matrix_game3_csv/huaiqiu_mcts_04_retreat_multi_glance_left_return.csv,shared_prompts/huaiqiu_mcts_04_retreat_multi_glance_left_return_shared_prompt.txt,shared_prompts/huaiqiu_mcts_04_retreat_multi_glance_left_return_shared_prompt.txt,genie3_protocols/huaiqiu_mcts_04_retreat_multi_glance_left_return_genie3_action_list.md
huaiqiu_mcts_05_lateral_left_multi_confuser_return,lateral_left_multi_confuser_return,72.0,257.54,54.0,4,3,30.0,4,15,0.72,matrix_game3_csv/huaiqiu_mcts_05_lateral_left_multi_confuser_return.csv,shared_prompts/huaiqiu_mcts_05_lateral_left_multi_confuser_return_shared_prompt.txt,shared_prompts/huaiqiu_mcts_05_lateral_left_multi_confuser_return_shared_prompt.txt,genie3_protocols/huaiqiu_mcts_05_lateral_left_multi_confuser_return_genie3_action_list.md
huaiqiu_mcts_06_lateral_right_multi_confuser_return,lateral_right_multi_confuser_return,72.0,249.0,56.0,3,2,34.0,4,14,0.0,matrix_game3_csv/huaiqiu_mcts_06_lateral_right_multi_confuser_return.csv,shared_prompts/huaiqiu_mcts_06_lateral_right_multi_confuser_return_shared_prompt.txt,shared_prompts/huaiqiu_mcts_06_lateral_right_multi_confuser_return_shared_prompt.txt,genie3_protocols/huaiqiu_mcts_06_lateral_right_multi_confuser_return_genie3_action_list.md
huaiqiu_mcts_07_courtyard_confuser_loop_return,courtyard_confuser_loop_return,72.0,230.7,54.0,3,2,22.0,4,21,0.0,matrix_game3_csv/huaiqiu_mcts_07_courtyard_confuser_loop_return.csv,shared_prompts/huaiqiu_mcts_07_courtyard_confuser_loop_return_shared_prompt.txt,shared_prompts/huaiqiu_mcts_07_courtyard_confuser_loop_return_shared_prompt.txt,genie3_protocols/huaiqiu_mcts_07_courtyard_confuser_loop_return_genie3_action_list.md
huaiqiu_mcts_08_interior_peek_multi_return,interior_peek_multi_return,72.0,239.44,52.0,3,2,32.0,4,12,0.42,matrix_game3_csv/huaiqiu_mcts_08_interior_peek_multi_return.csv,shared_prompts/huaiqiu_mcts_08_interior_peek_multi_return_shared_prompt.txt,shared_prompts/huaiqiu_mcts_08_interior_peek_multi_return_shared_prompt.txt,genie3_protocols/huaiqiu_mcts_08_interior_peek_multi_return_genie3_action_list.md
huaiqiu_mcts_09_double_revisit_with_wrong_store,double_revisit_with_wrong_store,72.0,246.32,58.0,4,3,34.0,4,14,1.26,matrix_game3_csv/huaiqiu_mcts_09_double_revisit_with_wrong_store.csv,shared_prompts/huaiqiu_mcts_09_double_revisit_with_wrong_store_shared_prompt.txt,shared_prompts/huaiqiu_mcts_09_double_revisit_with_wrong_store_shared_prompt.txt,genie3_protocols/huaiqiu_mcts_09_double_revisit_with_wrong_store_genie3_action_list.md
huaiqiu_mcts_10_hard_long_offscreen_multi_revisit,hard_long_offscreen_multi_revisit,72.0,226.84,58.0,3,2,24.0,4,20,0.42,matrix_game3_csv/huaiqiu_mcts_10_hard_long_offscreen_multi_revisit.csv,shared_prompts/huaiqiu_mcts_10_hard_long_offscreen_multi_revisit_shared_prompt.txt,shared_prompts/huaiqiu_mcts_10_hard_long_offscreen_multi_revisit_shared_prompt.txt,genie3_protocols/huaiqiu_mcts_10_hard_long_offscreen_multi_revisit_genie3_action_list.md
