frames,mouse,key,note
34,U,Q,00.0-02.0s HOLD hold view
34,U,Q,02.0-04.0s HOLD hold view
34,U,Q,04.0-06.0s HOLD hold view
34,U,S,06.0-08.0s BACK move backward
34,U,S,08.0-10.0s BACK move backward
34,U,S,10.0-12.0s BACK move backward
34,L,Q,12.0-14.0s YAW_R yaw right
34,U,Q,14.0-16.0s HOLD hold view
34,U,Q,16.0-18.0s HOLD hold view
34,U,Q,18.0-20.0s HOLD hold view
34,U,Q,20.0-22.0s HOLD hold view
34,J,Q,22.0-24.0s YAW_L yaw left
34,U,Q,24.0-26.0s HOLD hold view
34,U,Q,26.0-28.0s HOLD hold view
34,U,S,28.0-30.0s BACK move backward
34,U,S,30.0-32.0s BACK move backward
34,U,S,32.0-34.0s BACK move backward
34,L,Q,34.0-36.0s YAW_R yaw right
34,U,Q,36.0-38.0s HOLD hold view
34,U,Q,38.0-40.0s HOLD hold view
34,U,Q,40.0-42.0s HOLD hold view
34,U,Q,42.0-44.0s HOLD hold view
34,U,Q,44.0-46.0s HOLD hold view
34,U,Q,46.0-48.0s HOLD hold view
34,U,Q,48.0-50.0s HOLD hold view
34,U,Q,50.0-52.0s HOLD hold view
34,J,Q,52.0-54.0s YAW_L yaw left
34,U,W,54.0-56.0s FWD move forward
34,U,W,56.0-58.0s FWD move forward
34,U,W,58.0-60.0s FWD move forward
34,U,W,60.0-62.0s FWD move forward
34,U,W,62.0-64.0s FWD move forward
34,U,Q,64.0-66.0s HOLD hold view
34,U,Q,66.0-68.0s HOLD hold view
34,U,Q,68.0-70.0s HOLD hold view
34,U,Q,70.0-72.0s HOLD hold view
